,Country,Year,Traditional_vs_Secular,Survival_vs_SelfExpression,Cultural_Region
60,Macau SAR,4462019 Macau SAR (2019),1.2713,0.2036,Confucian
61,Malaysia,4582018 Malaysia (2018),0.0546,-0.3823,West & South Asia
62,Maldives,4622021 Maldives (2021),-1.378,-0.6482,African-Islamic
63,Mali,4662007 Mali (2007),-1.3851,-0.114,African-Islamic
64,Malta,4702008 Malta (2008),-1.2713,0.1761,Catholic Europe
65,Mexico,4842018 Mexico (2018),-1.0603,0.226,Latin America
66,Moldova,4982008 Moldova (2008),0.1818,-1.5502,Orthodox Europe
67,Mongolia,4962020 Mongolia (2020),0.7472,0.147,Confucian
68,Montenegro,4992019 Montenegro (2019),-0.4359,-0.0171,Orthodox Europe
69,Morocco,5042021 Morocco (2021),-0.3176,-0.8135,African-Islamic
70,Myanmar,1042020 Myanmar (2020),-1.0254,-0.9508,West & South Asia
71,Netherlands,5282022 Netherlands (2022),1.1562,2.3876,Protestant Europe
72,New Zealand,5542020 New Zealand (2020),0.5317,2.8566,English-Speaking
73,Nicaragua,5582020 Nicaragua (2020),-1.7126,-0.3604,Latin America
74,Nigeria,5662018 Nigeria (2018),-1.3736,-1.1028,African-Islamic
75,North Macedonia,8072019 North Macedonia (2019),0.0872,-0.2686,Orthodox Europe
76,Northern Ireland,9092022 Northern Ireland (2022),0.1189,1.6764,English-Speaking
77,Norway,5782018 Norway (2018),0.9265,3.0307,Protestant Europe
78,Pakistan,5862018 Pakistan (2018),-1.3833,-0.633,African-Islamic
79,Palestine,2752013 Palestine (2013),-0.9166,-1.3679,African-Islamic
80,Peru,6042018 Peru (2018),-1.0557,-0.5629,Latin America
81,Philippines,6082019 Philippines (2019),-1.4145,0.1057,Latin America
82,Poland,6162017 Poland (2017),-0.431,0.5982,Catholic Europe
83,Portugal,6202020 Portugal (2020),-0.2696,0.3353,Catholic Europe
84,Puerto Rico,6302018 Puerto Rico (2018),-1.5551,0.6597,Latin America
85,Qatar,6342010 Qatar (2010),-2.1667,-0.7143,West & South Asia
86,Romania,6422018 Romania (2018),-0.3876,-0.8017,Orthodox Europe
87,Russia,6432017 Russia (2017),0.3895,-0.595,Orthodox Europe
88,Rwanda,6462012 Rwanda (2012),-1.0995,-0.7069,African-Islamic
89,Saudi Arabia,6822003 Saudi Arabia (2003),-1.5044,-0.4165,West & South Asia
90,Serbia,6882018 Serbia (2018),0.3106,-0.577,Orthodox Europe
91,Singapore,7022020 Singapore (2020),0.0888,-0.1201,Confucian
92,Slovakia,7032022 Slovakia (2022),0.7261,0.1217,Protestant Europe
93,Slovenia,7052017 Slovenia (2017),0.7767,1.231,Protestant Europe
94,South Africa,7102013 South Africa (2013),-0.2706,0.027,West & South Asia
95,South Korea,4102018 South Korea (2018),1.4536,-0.4708,Confucian
96,Spain,7242017 Spain (2017),0.5884,1.4319,Catholic Europe
97,Sweden,7522017 Sweden (2017),1.1067,3.1133,Protestant Europe
98,Switzerland,7562017 Switzerland (2017),0.6754,2.3516,Protestant Europe
99,Taiwan ROC,1582019 Taiwan ROC (2019),1.1261,-0.1447,Confucian
100,Tajikistan,7622020 Tajikistan (2020),-1.368,-0.6182,West & South Asia
101,Tanzania,8342001 Tanzania (2001),-1.8021,-0.6821,African-Islamic
102,Thailand,7642018 Thailand (2018),0.2545,0.0658,West & South Asia
103,Trinidad and Tobago,7802010 Trinidad and Tobago (2010),-1.7556,-0.3584,African-Islamic
104,Tunisia,7882019 Tunisia (2019),-0.5962,-1.4324,African-Islamic
105,Turkey,7922018 Turkey (2018),-0.4563,-0.7041,African-Islamic
106,Uganda,8002001 Uganda (2001),-1.2236,-0.9602,African-Islamic
107,Ukraine,8042020 Ukraine (2020),0.4312,-0.493,Orthodox Europe
108,United States,8402017 United States (2017),0.1444,1.4034,English-Speaking
109,Uruguay,8582022 Uruguay (2022),-0.3293,1.3611,Latin America
110,Uzbekistan,8602011 Uzbekistan (2011),-1.323,-0.5776,West & South Asia
111,Venezuela,8622021 Venezuela (2021),-1.0603,-0.2503,Latin America
112,Vietnam,7042020 Vietnam (2020),-0.4429,0.6128,Confucian
113,Yemen,8872014 Yemen (2014),-1.3641,-1.2543,African-Islamic
114,Zambia,8942007 Zambia (2007),-0.5099,-0.9148,West & South Asia
115,Zimbabwe,7162020 Zimbabwe (2020),-0.585,-1.8709,African-Islamic
